description	pathway	GF2_hFMT2A_S44	GF2_mjMb2B_input_S53	GF2_myFMT1_S56	GF3_AMS001_inoc1_S36	HF10_hFMT1_S68	HF9_hFMT2_S42	Healthy_cecalSeekatz26_S2	c21_1835_3_S30	c21_1836_2_S31	c21_1836_3_S110	c21_1837_1_S114	c21_1837_2_S143	c21_1837_3_S138	c21_1839_1_S139	c21_1839_2_S115	c21_1841_1_S137	c21_1901_3_S29	c21_1907_1_S69	cecal_1191_2_S134	cecal_1275_1_S135	cecal_1275_2_S136	cecal_19_1210_1_S77	cecal_19_1210_3_S80	cecal_19_1212_3_S84	cecal_d21_1199_2_S99	cecal_d21_1199_3_S100	cecal_d21_1200_1_S90	cecal_d21_1200_3_S94	cecal_d21_1200_4_S133	cecal_d21_1203_1_S89	cecal_d21_1203_4_S103	cecal_d21_1205_2_S88	cecal_d21_1205_4_S93	cecal_d21_1207_2_S97	cecal_d21_1207_3_S95	cecal_d21_1207_4_S102	cecal_d21_1209_3_S96	cecal_d25_2935_S59	cecal_d25_3739_S45	cecal_d25_5925_S43	cecal_d25_5942_S46	cecal_d28_429_S66	cecal_d28_448_S65	cecal_d28_5505_S67	cecal_d28_5520_S64	cecal_d42_1216_1_S92	cecal_d42_1216_2_S87	cecal_d42_1217_2_S91	cecal_d42_1223_5_S101	cecal_d42_1225_1_S98	cecal_d42_1225_2_S132	cecal_d46_2933_S48	cecal_d46_2949_S47	cecal_d46_2956_S58	cecal_d46_2966_S38	cecal_d46_3755_S49	cecal_d46_3765_S39	cecal_d46_3827_S57	cecal_d46_3_C18_C23836_S51	cecal_d46_4837_S52	cecal_d46_4914_S54	cecal_d46_5957_S50	cecal_d46_5964_S55	d0_1840_2_S112	d11_1203_1_S72	d11_1205_2_S75	d11_1840_1_S21	d11_1840_2_S24	d11_1840_3_S27	d11_1901Seekatz24_S1	d18_1835_1_S25	d18_1835_3_S22	d18_1836_2_S111	d18_1836_3_S105	d18_1836_4_S116	d18_1837_1_S142	d18_1837_2_S113	d18_1839_1_S108	d18_1839_2_S34	d18_1839_3_S109	d18_1840Seekatz18_S3	d18_1901_3_S26	d18_1907_1_S71	d19_1199_2_S79	d19_1199_3_S81	d19_1200_1_S83	d19_1200_2_S78	d19_1203Seekatz34_S6	d19_1203_1_S35	d19_1203_3_S32	d19_1205_2_S82	d19_1207_1_S85	d19_1207_4_S33	d21_2935_S37	d21_3739_S36	d21_429_S63	d21_448_S62	d21_5220_S61	d21_5505_S60	d21_5925_S40	d21_5942_S41	d4_1203_2_S131	d4_1205_2_S73	d4_1840_1_S140	d4_1840_2_S141	dGF2_hFMT1B_S117	dn7_1203_1_S74	dn7_1205_1_S76	dn7_1835_1_S23	dn7_1840_2_S106	dn7_1840_3_S107	healthy_cecal_1913_1_S28	healthy_cecal_1913_2_S70	humanDonor_exp2_S86	mouseFMT_exp1_S130
PWY-7371	1,4-dihydroxy-6-naphthoate biosynthesis II	0	0	0	0.312609	0	0.64899	0	2.9457	2.06776	1.20524	0	0	0	0	0	10.2037	0	3.44148	0	0	0	1.33135	1.20611	0	0.574736	0.560913	1.32837	1.21595	1.33281	0	0	0	0	0	0	0	0	0	0	3.0031	2.05109	4.76269	0	4.50491	0	0	0	0	0	0	1.69024	0	0	0	0	0	0	0	0	2.83292	2.78898	3.36237	6.92099	0	0	0	0	0	0	0	4.05809	3.08078	1.47655	0.968908	1.91538	0	0	0	0	0	0	0	4.35884	0.999496	0.709893	0.545826	0	0	0	0	0	0	0	0	0	0.550753	0.622204	0	2.24075	1.79002	1.84721	0	0	0	0	0	0	0	0	0	0.849452	0	0	0	0
PWY-7383	anaerobic energy metabolism (invertebrates, cytosol)	72.9006	63.2897	29.6662	52.5746	53.3442	59.1517	30.8225	57.3821	132.717	88.2565	236.374	106.065	154.978	131.919	118.121	42.9201	44.3816	3.72345	93.1038	132.404	73.6352	119.128	64.3061	97.1576	80.6821	142.56	87.7264	50.9193	83.8368	254.669	215.908	24.2849	54.1231	196.535	216.097	246.899	33.2852	84.0317	57.3338	28.9618	35.3384	30.1711	137.455	40.5027	74.08	242.02	263.596	275.591	112.751	95.2115	129.583	56.2874	45.5898	182.875	126.196	68.4352	74.5131	49.7159	70.9918	58.4586	40.0662	18.968	22.062	0	276.78	284.501	244.812	235.017	266.58	0	53.7455	44.1951	75.8572	58.9555	92.1977	83.6699	123.761	130.687	151.94	222.57	48.7887	37.7332	38.9918	173.795	123.658	73.7797	59.5866	151.812	195.649	141.408	14.9466	146.425	66.9477	61.6261	74.2583	105.744	96.7127	114.274	37.047	47.9067	56.8544	112.565	27.1187	131.534	93.7558	68.9457	29.3512	75.5056	67.0975	37.4128	69.7245	57.4788	42.9404	133.911	180.775
PWY-7384	anaerobic energy metabolism (invertebrates, mitochondrial)	0	0	0	0	0	0	0	0	0.637613	0	0	0	0	0	0	0.719692	0	1.00385	0	0	0	0.865926	0.790647	3.35726	0	0	0	0	0	0.87704	0	0	0	0	0.715996	0	0	0	0	0	0	0	0	0	0	0	0	0	0.709061	0	0	0	0	0	0	0	0	0	0	0.45111	0.41828	0	0	0	0	0	0	0	0	0	0.324111	0	0.530325	0.594788	0.917291	0	0	0	0	0	0	0	1.40831	0	0.713519	0	0	0	0	0.442996	0.508231	0	0	0	0	0	0	0	0	0	0	9.98212	0	0	0	0	0	0	0	0	0.27428399999999997	0	0	0.880164	0
PWY-7385	1,3-propanediol biosynthesis (engineered)	0	0	0	0	0.664642	0	1.34582	0.188633	10.9071	6.08808	0.902367	0	0	0	0	9.8416	0.715876	2.92153	0	0	0	22.1327	35.2654	23.1317	0	10.7635	0	0.98781	0	1.4891	0	0.749017	0	4.03885	4.43113	4.64059	0	0	0.413584	0	0	0.458111	0	0	0	2.3303	18.9918	21.6821	16.0265	0.6386	0.934477	0	0	0	1.74503	0	0.446805	0	0.871255	4.79211	5.25644	0	0	0	16.869	0	11.3179	10.992	11.42	0	3.85581	1.11302	9.5709	7.76115	14.5879	0	0	0.9176	0.231011	0	0	0.821389	23.3496	1.3069	12.3395	0	1.07288	2.98978	11.0099	12.0547	1.23354	10.3865	2.8883	0	0	0	0	0	0.592638	0	0	1.7476	0	0	11.0708	0	0.966933	1.65789	0	0	11.8148	0	0	12.3471	0
PWY-7388	octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	4.19915	0	0	2.20011	2.73726	1.6646	0	14.6102	27.8699	35.3933	0	0	0	0	0	87.7836	0	37.1752	0	0	0	0	0	0	3.26207	4.64151	0	0	0	0	0	0	0	0	0	0	0	0	0	82.7223	102.983	74.2548	0	45.6011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163.058	197.909	183.636	150.667	0	0	0	0	0	0	0	69.5663	50.9263	63.019	51.2456	78.5907	0	0	0	0	0	0	0	105.274	3.61378	6.87349	0	0	0	0	0	0	0	0	0	0	0	0	0	61.7053	77.0788	55.3993	0	0	0	0	3.74426	0	0	0.998934	0	0	0	0	0	0
PWY-7389	anaerobic energy metabolism (invertebrates)	0	0	0	0	0	0	0	0	0.983705	0	0	0	0	0	0	1.15054	0	1.39602	0	0	0	1.37949	1.26634	5.19064	0	0	0	0	0	1.41481	0	0	0	0	1.14847	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10671	0	0	0	0	0	0	0	0	0	0	0.706571	0.653673	0	0	0	0	0	0	0	0	0	0.516821	0	0.844403	0.926889	1.41875	0	0	0	0	0	0	0	2.2088	0	1.14267	0	0	0	0	0.718088	0.683631	0	0	0	0	0	0	0	0	0	0	15.3312	0	0	0	0	0	0	0	0	0.443702	0	0	1.4195	0
PWY-7391	isoprene biosynthesis II (engineered)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.22774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7392	taxadiene biosynthesis (engineered)	15.7048	0	56.0244	44.0768	18.5792	52.9739	6.37847	175.751	168.684	183.991	301.6	318.467	312.468	3.46296	1.87562	178.046	9.7822	133.866	0	1.84562	0	0	1.93038	3.00398	129.767	130.055	115.944	118.951	140.431	1.4341	1.5374	4.19493	0	0	0	0	5.53924	146.677	279.806	115.414	86.6261	103.614	1.8165	120.221	0	0	0	0	200.882	31.828	52.7114	0	0	17.2633	3.10739	7.83399	304.679	0	0	2.69939	0	19.0899	51.7247	0	7.00095	11.6456	0	0	0	0	210.001	188.662	176.398	168.078	158.841	313.376	280.702	4.91891	4.34493	15.7936	1.37486	7.88762	57.0489	64.1382	76.6356	98.6223	142.995	0	4.69137	1.95372	0	6.17411	7.59632	175.197	146.436	0	0	0	133.997	66.1101	63.7031	0	1.40521	0	0	15.8509	18.8496	9.18006	3.34407	3.2472	13.8931	2.95924	8.49074	16.9564	9.92656
PWY-7399	methylphosphonate degradation II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.254999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.414835	0	0	0	0	0	0	0	0	0.909592	0.753519	0	0	0	0	0	0	0.542748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.245847	0	0	0	0	0	0	0	0	0	0	0	0.883733	0	0	0.911624	0
PWY-7400	L-arginine biosynthesis IV (archaebacteria)	349.533	56.5997	20.2048	346.888	356.103	392.878	116.339	149.909	192.011	185.99	184.938	126.758	161.023	256.05	250.835	152.713	132.356	68.8192	44.578	0	52.2683	140.764	148.433	139.754	110.494	229.984	72.0456	76.3216	132.067	227.608	188.131	86.3029	32.3616	205.019	174.591	232.301	0	278.991	159.256	166.336	170.831	185.213	254.317	172.84	212.446	384.122	401.055	418.638	132.664	66.2193	80.442	73.6161	0	310.347	159.881	0	166.088	154.621	41.9736	183.627	211.777	189.884	173.812	0	310.238	418.131	387.992	384.386	408.693	0	172.195	175.958	213.325	151.955	217.807	159.998	158.227	320.401	327.837	299.265	40.6389	262.478	190.227	167.018	226.827	66.8755	62.4167	203.41	279.309	249.807	59.3266	165.22	109.319	173.662	147.723	204.852	239.534	226.883	233.807	218.701	225.751	272.38	13.2036	256.255	249.544	347.695	38.0493	36.5987	80.4234	26.5038	212.342	118.283	135.147	225.556	62.5667
PWY-7401	crotonate fermentation (to acetate and cyclohexane carboxylate)	0	0	0	0	0	0	0	0.57101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.830022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7409	phospholipid remodeling (phosphatidylethanolamine, yeast)	0	0	0	0	0	0	0	0.63767	1.16105	0	0	0	0	0	0	6.00454	0	6.07915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00735	0	0.633727	0	0	1.25937	0	0	0	0	0	0	0	0	0	0	1.77633	0.566653	3.82162	1.26526	2.1777	0	0	0	0	0	0	0	9.23551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.26642	0	0	0	0
PWY-7434	terminal O-glycans residues modification (via type 2 precursor disaccharide)	0.604075	0	0	0.602688	1.00778	0.695053	0.368745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.569956	0	0	0	0	0.163746	0	2.81746	0
PWY-7446	sulfoquinovose degradation I	0	0	0	0	0	0	0	0	1.15614	0.32422	0	0	0	0	0	1.46988	0	0.956754	0	0	0	3.77683	6.05194	1.42485	0	1.96888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.259973	0	0	0	0	0	0	0.841934	0	0	0	0	0	0	0	0	0	0	1.21615	1.1776199999999999	0	0	0	0	0	0	0	0	0	0.238907	0	1.09473	0.722105	1.07196	0	0	0	0	0	0	0	1.60036	0	4.3387	0	0	0	0	0	0	0	0	0	0	0	0	0	0.294967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7456	&beta;-(1,4)-mannan degradation	130.861	35.9929	66.8352	152.4	136.883	146.314	44.059	77.3351	65.0623	78.0932	35.6987	17.8346	39.4464	15.9259	43.9208	72.5324	72.9633	80.5988	20.6471	3.41248	32.5296	130.669	172.385	100.253	40.8048	51.9966	26.1472	25.5276	84.1166	0	0	41.2369	32.1865	6.20457	3.1751	3.87962	15.8603	41.1131	37.4669	67.5701	64.7482	75.4571	83.1879	72.2297	89.3721	0	0.403285	0	48.8635	30.799	100.057	20.1284	0	0	27.6215	7.72604	14.2044	13.7703	31.446	61.218	70.5858	40.8343	50.6745	0.989037	0	0	0.388055	0.691521	0.374846	0	64.7691	68.0597	92.423	77.447	64.487	21.6696	26.8846	33.1589	31.9621	16.7512	29.6634	85.0909	70.648	48.4896	115.714	75.1401	60.5558	0	0	0.977532	16.8981	0	0	35.9236	36.5944	35.8008	50.6376	48.1363	90.0135	76.053	83.4571	62.0777	2.02005	0	0	125.845	24.0622	59.9566	56.5572	63.0839	54.4294	48.7161	72.7206	0	32.9066
PWY-7511	protein ubiquitination	0	0	0	0	0	0	0.402979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.569351	0	0	0	0	0.0233706	0	0	0
PWY-7560	methylerythritol phosphate pathway II	517.427	137.575	242.726	506.41	521.388	503.498	129.842	269.343	241.217	263.834	380.599	369.75	378.547	429.678	438.973	321.413	169.847	344.284	457.145	65.941	130.866	424.783	391.557	427.997	278.436	284.69	309.987	244.89	284.428	428.688	554.554	177.261	160.025	375.854	376.384	437.699	218.654	385.628	363.56	355.891	349.512	365.498	401.902	342.256	403.831	275.562	289.403	308.728	310.463	216.859	338.47	297.918	302.119	149.451	446.789	355.33	398.804	371.447	250.25	393.367	401.148	351.636	355.967	0.489148	246.023	259.141	217.149	208.664	236.648	0	315.717	297.04	301.479	229.076	321.939	378.07	342.761	355.826	361.387	421.157	134.452	194.431	364.537	328.994	293.804	308.106	283.026	413.819	385.474	342.727	325.478	409.67	520.61	453.749	423.378	452.978	402.612	418.341	354.335	390.786	362.36	209.623	690.407	441.617	387.629	499.59	141.51	222.483	181.227	131.552	186.648	49.3296	156.431	361.758	190.18
PWY-7616	methanol oxidation to carbon dioxide	0	3.68529	0	0	0	0	0	0.424656	1.19356	0	0	0.813781	0	0	0	1.97442	4.09505	0.772289	0.326376	0	0	3.2973	5.90658	1.92091	0	2.5459	0	0	0	3.31533	3.46061	0	0	2.58328	2.22463	2.45298	0	0.746608	0	0	0	0.385184	0.489183	0	0	0	0	0	2.33804	0	0.412249	2.93214	0	0	0.555971	0	0.423666	0	1.50716	2.12351	0.917195	0	0	0	0	0.984004	0	0	0.273051	0	2.0961	1.06188	1.00758	1.15768	0	0	0	2.21415	0.138258	0	1.26411	5.63826	4.008	0	4.2635	0	0	5.90443	6.43852	7.99452	0	3.47136	0.792611	0	0	0	0	0	0.451761	0	0	1.67593	0	0	0	0	0	0	0.161461	2.06322	3.02246	0.932148	5.29043	2.62943	0
PWY-7663	gondoate biosynthesis (anaerobic)	35.7571	179.076	321.757	68.8458	86.8325	90.1836	233.573	401.712	412.15	434.469	470.347	448.8	479.441	472.845	488.503	416.757	251.143	528.769	505.463	208.618	340.12	468.613	440.322	600.811	455.758	459.596	554.899	465.298	494.988	509.249	670.259	295.222	274.504	480.435	494.241	529.237	303.655	332.97	441.952	462.567	414.221	447.467	437.463	489.411	470.857	377.972	418.937	474.603	566.497	566.35	591.393	264.755	290.636	378.694	490.884	439.811	473.592	366.102	235.011	434.82	403.136	321.815	439.126	1.63938	382.729	395.878	464.192	453.168	475.699	0.660147	360.023	375.356	411.227	389.7	389.958	428.769	445.418	401.863	369.298	475.356	166.617	332.941	374.579	525.394	467.929	550.25	582.92	476.407	404.151	359.52	522.71	481.351	547.257	441.415	467.898	519.366	412.394	443.984	408.422	383.654	409.455	413.92	824.242	509.419	465.266	33.1302	178.707	375.17	285.62	203.542	255.353	200.681	228.785	446.623	310.355
PWY-7664	oleate biosynthesis IV (anaerobic)	29.0348	4.36418	7.82994	67.6522	47.4548	77.7284	10.9892	170.903	175.825	165.704	300.09	322.276	325.793	35.9671	82.8088	239.755	17.2908	325.641	1.67658	0	2.49402	100.127	140.762	375.282	275.719	275.585	366.823	304.073	306.633	177.408	148.583	17.6908	15.872	130.442	104.247	172.922	2.82094	94.5769	215.122	301.346	272.022	300.519	133.992	333.757	121.12	353.806	407.194	447.865	328.532	391.128	381.299	0.897915	0	285.178	41.1632	0	231.789	4.54788	54.9203	306.112	268.219	205.368	276.82	0	343.834	335.6	373.639	355.333	382.707	0.520101	164.905	174.135	171.992	139.152	149.459	270.04	271.196	11.2315	8.71209	6.33729	10.6614	18.1498	195.862	278.418	286.497	385.254	395.551	256.369	327.571	300.386	29.2471	188.909	123.669	105.038	90.495	51.3984	54.1792	80.068	239.265	222.426	205.511	345.179	0	295.424	339.377	23.2741	3.89773	13.0017	14.2924	6.11591	121.79	0	5.16083	166.508	10.8381
PWY-7688	dTDP-&alpha;-D-ravidosamine and dTDP-4-acetyl-&alpha;-D-ravidosamine biosynthesis	0.4228	23.3141	11.6976	3.20778	4.83419	5.26779	13.4203	48.8284	36.8374	39.7058	9.62306	16.8643	17.2965	0	50.7472	99.0053	22.1535	209.101	21.5267	0	20.6271	14.1883	31.0481	106.658	220.365	195.771	288.874	253.652	215.457	0	0	55.388	40.478	0	0	0.534791	1.7339	4.46764	0	211.467	187.32	218.761	19.7275	240.465	17.9698	0	0.464654	0.220451	204.205	322.532	296.881	9.43796	3.47371	0	16.0376	0	6.60721	24.2476	28.1648	225.992	195.358	171.6	197.428	0	0	0	0	0	0.140594	0	34.6615	38.8598	34.0457	27.1543	25.2171	7.6091	6.85239	87.4837	84.325	0	27.0745	16.5445	75.7172	214.978	193.661	309.631	316.823	0	0.295837	0	47.815	0	0.311131	0	6.34444	34.2045	29.2336	18.795	163.574	152.254	141.107	1.79066	0	0	0	0	18.4985	37.9838	23.9001	37.6112	20.9316	6.4485	31.2313	0.370368	14.4984
PWY-7723	bacterial bioluminescence	0	0	0	0.802221	0	1.17581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.721858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.23873	0
PWY-7754	bile acid 7&alpha;-dehydroxylation	0	0	0	0.465319	0.566128	0.754226	0	0.445425	0.744283	0.872837	0	0	0	0	0	6.9791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75274	1.61623	2.29813	0	1.09836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.31114	4.69023	2.88517	1.65859	0	0	0	0	0	0	0	1.82169	1.15177	0.814328	0.488568	1.28468	0	0	0	0	0	0	0	2.26151	0	0.850039	0	0.3032	0	0	0	0	0	0	0	0	0	0	0	3.05878	3.47367	2.19659	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7761	NAD salvage pathway	173.213	23.9142	29.4103	45.8809	44.7831	36.8348	29.5588	14.5282	25.3027	17.7864	10.8089	17.8526	17.454	44.267	8.29665	50.7512	30.6082	18.4151	18.7745	4.46614	6.25791	51.4149	93.5375	92.1192	5.23013	29.0827	0	0	4.27236	76.7968	80.872	13.5097	5.04647	82.7894	77.1895	97.9394	39.9701	58.7066	22.1777	4.99362	8.78424	11.4898	30.468	11.8945	3.66292	207.37	227.703	238.723	25.5367	4.02676	3.3143	44.9941	70.2575	180.938	11.2962	35.1713	21.4615	10.7754	50.0647	19.0957	28.3244	21.6676	11.452	0	177.048	189.566	217.525	205.858	220.164	0	43.3067	24.4714	21.3437	29.9319	72.5829	118.838	100.601	36.7622	36.5706	52.208	24.5974	43.9811	57.311	6.26646	47.6109	10.3297	14.6705	124.613	164.565	166.28	42.2337	96.6028	63.7505	17.0178	15.4956	18.4722	19.2362	25.0423	32.2575	6.00809	10.6228	147.575	40.4965	231.971	244.333	152.739	44.6958	41.5601	15.2222	13.7407	53.033	20.9743	37.5269	105.208	28.8208
PWY-7783	plasmalogen degradation	0.545408	0	0	0.496496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.744412	0	0	0	0
PWY-7790	UMP biosynthesis II	665.579	422.951	465.209	629.154	688.335	650.497	329.586	437.048	450.307	441.013	583.813	571.45	580.593	540.762	553.831	417.442	513.377	433.412	605.717	450.364	479.031	462.602	416.556	534.842	386.461	415.732	433.975	344.71	435.615	542.316	625.975	454.804	413.864	481.378	489.887	527.883	530.961	451.103	463.468	441.179	441.529	477.08	516.312	467.868	506.155	432.135	426.746	430.717	461.783	398.974	468.345	431.524	500.259	614.662	539.331	502.596	474.805	367.119	527.992	444.611	438.264	379.79	422.819	1594.18	429.291	558.273	600.027	610.067	579.464	1248.24	417.669	413.23	437.958	375.531	431.642	540.632	511.515	512.494	514.524	566.511	471.509	556.494	415.154	485.178	397.349	414.745	433.432	440.165	433.072	400.349	509.237	465.3	530.233	521.489	480.124	581.93	508.886	518.664	474.826	491.347	474.815	373.665	765.722	513.433	452.292	631.505	273.505	478.581	533.114	363.008	387.636	461.138	397.777	438.86	520.404
PWY-7791	UMP biosynthesis III	665.579	422.951	465.209	629.154	688.335	650.497	329.586	437.048	450.307	441.013	583.813	571.45	580.593	540.762	553.831	417.442	513.377	433.412	605.717	450.364	479.031	462.602	416.556	534.842	386.461	415.732	433.975	365.25	435.615	542.316	625.975	454.804	413.864	481.378	489.887	527.883	530.961	451.103	463.468	441.179	441.529	477.08	516.312	467.868	506.155	432.135	426.746	430.717	461.783	432.257	468.345	431.524	500.259	614.662	539.331	502.596	474.805	367.119	527.992	444.611	438.264	379.79	422.819	1594.18	429.291	558.273	600.027	610.067	579.464	1248.24	417.669	413.23	437.958	375.531	431.642	540.632	511.515	512.494	514.524	566.511	471.509	556.494	415.154	485.178	397.349	414.745	433.432	440.165	433.072	400.349	509.237	465.3	530.233	521.489	480.124	581.93	508.886	518.664	474.826	491.347	474.815	373.665	765.722	513.433	452.292	631.505	273.505	478.581	533.114	363.008	387.636	461.138	397.777	438.86	520.404
PWY-7805	(aminomethyl)phosphonate degradation	0	0	0	0	0	0	0	0.478457	0.877356	0	0	0	0	0	0	3.13637	0	2.12501	0	0	0	3.52813	3.37034	2.0288	0	2.16359	0.469661	0	0	0	0	0.340126	0	0	0	0	0	0	0	0	0	0.385952	0	0	0	5.34401	0	10.1714	1.01732	0	0	0	0	0	1.41002	0	0.788027	0	0	0.517186	1.43315	0	0	0	0	0	0	0	0.262999	0	0.619185	1.72876	1.29634	0.959907	1.86271	0	0	0	0	0	0	0	6.39504	0	3.3238	0	0	0	0	0.41964	0	0	0	0	0	0	0	0	0	0	0	9.53545	0	0	0	0	0	0	0	0	3.80128	0	0	0	0
PWY-7807	glyphosate degradation III	0	0	0	0	0	0	0	0.94168	0.879641	0	0	0	0	0	0	3.71106	0.281784	2.41728	0	0	0	3.41142	3.09475	1.89611	0	2.08901	0.578813	0	0	0	0	0.513425	0	0	0	0	0	0	0	0	0	0.695264	0	0.462357	0	4.84264	0	9.31936	0.923843	0	0	0	0	0	1.42168	0	0.79063	0	0	0.686013	2.79047	0	0	0	0	0	0	0	0.230526	0	1.88154	1.92432	2.54522	1.00781	2.21203	0	0	0	0	0	0	0.648456	7.36208	0	3.08679	0	0	0	0	0.368168	0	0	0	0	0	0	0	0	0	0	0	8.93578	0	0	0	0	0	0	0.205075	0	5.26094	0	0	0	0
PWY-7820	teichuronic acid biosynthesis (B. subtilis 168)	0	0	1.03324	0	0	1.46312	11.5563	4.93526	0	0	0	0	0	0	0	7.85404	19.1743	0	0.253011	0	7.08722	24.6124	19.7348	30.9926	0	9.0132	0.455102	1.50927	4.22852	0	0	9.48199	8.88109	0	0	2.26492	0	0.845592	0	3.06801	5.12168	0	0	4.90096	0	0	0	0	5.18601	0	0.385024	0	0	0.278481	5.01396	0	0.964351	0	0	2.83887	5.91107	0	0.174413	0	0.710393	0	0	0	0	0	0	10.1794	8.17388	5.49353	0	0	0	0	0.641024	0	6.85388	6.63866	0	1.16319	15.9732	0	0.784213	0	0.158445	0	1.00817	0	0	0	0	0	0	0	4.13878	5.02521	5.67882	0	0	0	0	0	3.41743	3.32797	11.0105	8.76584	5.1338800000000004	0	15.4	0	10.7146
PWY-7851	coenzyme A biosynthesis II (eukaryotic)	500.872	220.177	329.992	526.296	539.649	520.529	180.061	331.48	324.016	322.243	406.993	461.997	431.204	391.578	423.029	312.953	267.364	363.162	437.097	261.573	290.376	328.592	312.619	345.902	289.756	284.702	337.743	267.012	320.491	322.142	416.348	277.44	246.002	299.513	284.219	323.541	386.407	320.964	347.725	322.18	312.033	349.025	392.929	360.035	368.044	183.688	178.767	183.922	347.526	335.495	355.904	323.735	433.792	486.987	419.53	308.944	357.06	262.96	389.445	307.147	278.723	259.653	305.786	1532.06	178.745	150.145	477.23	473.263	402.003	1135.51	298.445	312.845	303.691	264.68	316.67	449.495	392.989	364.012	388.569	386.371	266.553	324.988	299.24	335.22	281.681	343.128	371.771	319.289	300.465	287.297	409.836	312.389	446.828	351.381	346.21	417.964	361.917	396.14	348.716	327.299	342.166	228.864	609.987	361.978	332.158	484.293	171.511	252.693	286.025	214.903	241.032	231.888	237.188	290.661	270.282
