description	category
PWY-6683	Noncarbon-Nutrients
PWY1ZNC-1	Noncarbon-Nutrients
PWY-8129	Noncarbon-Nutrients
CYANCAT-PWY	Noncarbon-Nutrients
PWY-5491	Noncarbon-Nutrients
PWY-7793	Noncarbon-Nutrients
PWY-6047	Noncarbon-Nutrients
PWY-6059	Noncarbon-Nutrients
PWY-6058	Noncarbon-Nutrients
PWY-6050	Noncarbon-Nutrients
PWY-6046	Noncarbon-Nutrients
PWY-6056	Noncarbon-Nutrients
PWY-6052	Noncarbon-Nutrients
PWY-6043	Noncarbon-Nutrients
PWY-6692	Noncarbon-Nutrients
PWY-7804	Noncarbon-Nutrients
PWY-7806	Noncarbon-Nutrients
PWY-7807	Noncarbon-Nutrients
PWY-6321	Noncarbon-Nutrients
PWY-7387	Noncarbon-Nutrients
PWY-5934	Noncarbon-Nutrients
PWY-2601	Noncarbon-Nutrients
PWY-6591	Noncarbon-Nutrients
PWY-6592	Noncarbon-Nutrients
PWY-6044	Noncarbon-Nutrients
PWY-8067	Noncarbon-Nutrients
PWY0-1533	Noncarbon-Nutrients
PWY-7399	Noncarbon-Nutrients
PWY-8066	Noncarbon-Nutrients
PWY-6048	Noncarbon-Nutrients
PWY-6045	Noncarbon-Nutrients
PWY-381	Noncarbon-Nutrients
PWY-5675	Noncarbon-Nutrients
PWY490-3	Noncarbon-Nutrients
PWY-7683	Noncarbon-Nutrients
N2FIX-PWY	Noncarbon-Nutrients
PWY-7576	Noncarbon-Nutrients
PWY-6348	Noncarbon-Nutrients
P483-PWY	Noncarbon-Nutrients
PWY-8138	Noncarbon-Nutrients
PWY8J2-25	Noncarbon-Nutrients
PWY-8418	Noncarbon-Nutrients
PWY-6932	Noncarbon-Nutrients
PWY8J2-26	Noncarbon-Nutrients
PWY-5274	Noncarbon-Nutrients
PWY-7927	Noncarbon-Nutrients
PWY-5279	Noncarbon-Nutrients
PWY-5278	Noncarbon-Nutrients
PWY-5326	Noncarbon-Nutrients
PWY-1281	Noncarbon-Nutrients
PWY-5982	Noncarbon-Nutrients
PWY-6718	Noncarbon-Nutrients
PWY-8062	Noncarbon-Nutrients
PWY-6593	Noncarbon-Nutrients
PWY-6616	Noncarbon-Nutrients
PWY-6637	Noncarbon-Nutrients
PWY-6638	Noncarbon-Nutrients
PWY-6675	Noncarbon-Nutrients
PWY-5332	Noncarbon-Nutrients
PWY-5364	Noncarbon-Nutrients
PWY-7976	Noncarbon-Nutrients
PWY-1263	Noncarbon-Nutrients
PWY-1264	Noncarbon-Nutrients
TAURINEDEG-PWY	Noncarbon-Nutrients
PWY0-981	Noncarbon-Nutrients
PWY-5359	Noncarbon-Nutrients
PWY-5350	Noncarbon-Nutrients
PWY-5296	Noncarbon-Nutrients
PWY-6677	Noncarbon-Nutrients
ALKANEMONOX-PWY	Noncarbon-Nutrients
PWY-4984	Noncarbon-Nutrients
PWY-5340	Noncarbon-Nutrients
PWY-6523	Noncarbon-Nutrients
PWY-6963	Noncarbon-Nutrients
SO4ASSIM-PWY	Noncarbon-Nutrients
PWY-3282	Noncarbon-Nutrients
PWY-6072	Noncarbon-Nutrients
PWY-6049	Noncarbon-Nutrients
SULFATE-CYS-PWY	Noncarbon-Nutrients
PWY-5294	Noncarbon-Nutrients
PWY-6676	Noncarbon-Nutrients
PWY-5335	Noncarbon-Nutrients
PWY-6641	Noncarbon-Nutrients
PWY-5304	Noncarbon-Nutrients
PWY-1541	Noncarbon-Nutrients
PWY-5360	Noncarbon-Nutrients
PWY-6931	Noncarbon-Nutrients
PWY-6935	Noncarbon-Nutrients
PWY-6933	Noncarbon-Nutrients
PWY-6829	Nucleic-Acid-Processing
PWY0-1554	Nucleic-Acid-Processing
PWY-7286	Nucleic-Acid-Processing
PWY-6711	Nucleic-Acid-Processing
PWY-7923	Nucleic-Acid-Processing
PWY-7285	Nucleic-Acid-Processing
PWY-8455	Nucleic-Acid-Processing
PWY-8468	Nucleic-Acid-Processing
PWY-8470	Nucleic-Acid-Processing
PWY-8471	Nucleic-Acid-Processing
PWY-7375	Nucleic-Acid-Processing
PWY-8341	Nucleic-Acid-Processing
PWY0-1587	Nucleic-Acid-Processing
PWY-6700	Nucleic-Acid-Processing
PWY-8105	Nucleic-Acid-Processing
PWY-8106	Nucleic-Acid-Processing
PWY0-1479	Nucleic-Acid-Processing
PWY-6689	Nucleic-Acid-Processing
PWY-7803	Nucleic-Acid-Processing
PWY-7888	Nucleic-Acid-Processing
PWY-7889	Nucleic-Acid-Processing
PWY-7904	Nucleic-Acid-Processing
PWY-7891	Nucleic-Acid-Processing
PWY-7892	Nucleic-Acid-Processing
PWY-7379	Nucleic-Acid-Processing
PWY-7283	Nucleic-Acid-Processing
PWY-6998	Nucleotide-Alditols-Biosynthesis
PWY-7127	Nucleotide-Alditols-Biosynthesis
PWY-8416	Nucleotide-Alditols-Biosynthesis
PWY-6121	Nucleotide-Biosynthesis
PWY-6122	Nucleotide-Biosynthesis
P121-PWY	Nucleotide-Biosynthesis
PWY-6605	Nucleotide-Biosynthesis
PWY-6609	Nucleotide-Biosynthesis
PWY-6611	Nucleotide-Biosynthesis
PWY-6619	Nucleotide-Biosynthesis
PWY-6610	Nucleotide-Biosynthesis
PWY-6794	Nucleotide-Biosynthesis
PWY-7227	Nucleotide-Biosynthesis
PWY-7220	Nucleotide-Biosynthesis
PWY-7219	Nucleotide-Biosynthesis
PWY-7205	Nucleotide-Biosynthesis
PWY66-385	Nucleotide-Biosynthesis
PWY-8289	Nucleotide-Biosynthesis
PWY-6620	Nucleotide-Biosynthesis
PWY-6599	Nucleotide-Biosynthesis
PWY-6618	Nucleotide-Biosynthesis
PWY-7226	Nucleotide-Biosynthesis
PWY-7222	Nucleotide-Biosynthesis
PWY-7221	Nucleotide-Biosynthesis
PWY-6123	Nucleotide-Biosynthesis
PWY-6124	Nucleotide-Biosynthesis
PWY-7234	Nucleotide-Biosynthesis
PWY-7199	Nucleotide-Biosynthesis
PWY-7187	Nucleotide-Biosynthesis
PWY-7183	Nucleotide-Biosynthesis
PWY-7193	Nucleotide-Biosynthesis
PWY-5686	Nucleotide-Biosynthesis
PWY-7790	Nucleotide-Biosynthesis
PWY-7791	Nucleotide-Biosynthesis
PWY-7176	Nucleotide-Biosynthesis
SALVPURINE2-PWY	Nucleotide-Biosynthesis
PWY-7224	Nucleotide-Biosynthesis
PWY-7197	Nucleotide-Biosynthesis
PWY-7210	Nucleotide-Biosynthesis
PWY-7184	Nucleotide-Biosynthesis
PWY-6545	Nucleotide-Biosynthesis
PWY-7198	Nucleotide-Biosynthesis
PWY-6556	Nucleotide-Biosynthesis
PWY-7195	Nucleotide-Biosynthesis
PWY-7194	Nucleotide-Biosynthesis
PWY-6277	Nucleotide-Biosynthesis
PWY-7229	Nucleotide-Biosynthesis
PWY-6126	Nucleotide-Biosynthesis
PWY-6579	Nucleotide-Biosynthesis
PWY-7228	Nucleotide-Biosynthesis
PWY-6125	Nucleotide-Biosynthesis
PWY66-409	Nucleotide-Biosynthesis
PWY-841	Nucleotide-Biosynthesis
DENOVOPURINE2-PWY	Nucleotide-Biosynthesis
PWY-7200	Nucleotide-Biosynthesis
PWY-7211	Nucleotide-Biosynthesis
PWY0-166	Nucleotide-Biosynthesis
PWY-7208	Nucleotide-Biosynthesis
PWY-7196	Nucleotide-Biosynthesis
PWY0-162	Nucleotide-Biosynthesis
PRPP-PWY	Nucleotide-Biosynthesis
PWY-7206	Nucleotide-Degradation
PWY-8130	Nucleotide-Degradation
PWY-8131	Nucleotide-Degradation
PWY-6596	Nucleotide-Degradation
SALVADEHYPOX-PWY	Nucleotide-Degradation
PWY-6617	Nucleotide-Degradation
PWY-6607	Nucleotide-Degradation
PWY-6606	Nucleotide-Degradation
PWY-6608	Nucleotide-Degradation
PWY-5695	Nucleotide-Degradation
PWY-5532	Nucleotide-Degradation
PWY-8440	Nucleotide-Degradation
PWY-6019	Nucleotide-Degradation
PWY-7179	Nucleotide-Degradation
PWY-7179-1	Nucleotide-Degradation
PWY0-1296	Nucleotide-Degradation
PWY-7181	Nucleotide-Degradation
PWY0-1295	Nucleotide-Degradation
PWY-6754	Nucleotide-Degradation
PWY-6756	Nucleotide-Degradation
PWY-6753	Nucleotide-Degradation
PWY0-1391	Nucleotide-Degradation
PWY-6430	Nucleotide-Degradation
PWY-6426	Nucleotide-Degradation
PWY0-1471	Nucleotide-Degradation
PWY-7185	Nucleotide-Degradation
PWY-7177	Nucleotide-Degradation
PWY-5044	Nucleotide-Degradation
PWY-6353	Nucleotide-Degradation
PWY-6595	Nucleotide-Degradation
PWY0-1297	Nucleotide-Degradation
PWY0-1298	Nucleotide-Degradation
PWY-7209	Nucleotide-Degradation
P164-PWY	Nucleotide-Degradation
PWY-5497	Nucleotide-Degradation
PWY0-1261	Nucleotide-Degradation
PWY-5951	Other
PWY-6390	Other
PWY-6871	Other
PWY-6797	Other
PWY-7539	Other
PWY-7852	Other
PWY-7853	Other
PWY-7147	Other
PWY-6578	Other
PWY-8203	Other
PWY-6370	Other
PWY8J2-1	Other
PWY-4181	Other
GLUTATHIONESYN-PWY	Other
GLUT-REDOX-PWY	Other
PWY-4081	Other
PWY-6840	Other
PWY-6481	Other
PWY-6391	Other
PWY-6392	Other
PWY-6730	Other
PWY1G-0	Other
PWY1G-126	Other
PWY-8043	Other
PWY-6623	Other
PWY-6624	Other
PWY-6762	Other
PWY-8464	Other
THIOREDOX-PWY	Other
PWY-8249	Other
PWY-6288	Other
PWY-6621	Other
P125-PWY	Other
PWY-6396	Other
ACETOACETATE-DEG-PWY	Other
PWY-6028	Other
PWY-5451	Other
PWY-5533	Other
PWY-7466	Other
PWY-7308	Other
PWY-7309	Other
P481-PWY	Other
PWY-723	Other
PWY-8454	Other
PWY66-241	Other
PWY-1164	Other
PWY-5336	Other
PWY-7926	Other
PWY-5098	Other
PWY-6927	Other
PWY-7164	Other
P401-PWY	Other
PWY-7559	Other
PWY-4061	Other
PWY-5874	Other
PWY-7845	Other
PWY-7844	Other
PWY-7843	Other
PWY-7846	Other
PWY-7847	Other
PWY-7848	Other
PWY-7582	Other
PWY-7779	Other
PWY-7978	Other
P181-PWY	Other
PWY-6993	Other
PWY-7128	Other
PWY66-201	Other
PWY66-221	Other
PWY-5355	Other
P201-PWY	Other
P621-PWY	Other
P221-PWY	Other
PWY-7883	Other
P581-PWY	Other
PWY-743	Other
P344-PWY	Other
GALACT-GLUCUROCAT-PWY	Other
PWY-6158	Polyamine-Biosynthesis
BETSYN-PWY	Polyamine-Biosynthesis
PWY-3722	Polyamine-Biosynthesis
PWY1F-353	Polyamine-Biosynthesis
P541-PWY	Polyamine-Biosynthesis
PWY0-1303	Polyamine-Biosynthesis
PWY-8114	Polyamine-Biosynthesis
PWY-3385	Polyamine-Biosynthesis
PWY-3542	Polyamine-Biosynthesis
PWY-3561	Polyamine-Biosynthesis
P101-PWY	Polyamine-Biosynthesis
PWY-6173	Polyamine-Biosynthesis
PWY-5907	Polyamine-Biosynthesis
PWY-8149	Polyamine-Biosynthesis
PWY-8115	Polyamine-Biosynthesis
PWY-6562	Polyamine-Biosynthesis
PWY-7297	Polyamine-Biosynthesis
PWY-40	Polyamine-Biosynthesis
PWY-43	Polyamine-Biosynthesis
PWY-46	Polyamine-Biosynthesis
PWY-6456	Polyamine-Biosynthesis
BSUBPOLYAMSYN-PWY	Polyamine-Biosynthesis
PWY-6559	Polyamine-Biosynthesis
PWY-6834	Polyamine-Biosynthesis
PWY2PN3-14	Polyamine-Biosynthesis
ARGSPECAT-PWY	Polyamine-Biosynthesis
PWY-8292	Polyamine-Biosynthesis
TRYPANOSYN-PWY	Polyamine-Biosynthesis
PWY-4121	Polyamine-Biosynthesis
ARG+POLYAMINE-SYN	Polyamine-Biosynthesis
POLYAMSYN-PWY	Polyamine-Biosynthesis
POLYAMINSYN3-PWY	Polyamine-Biosynthesis
PWY-6565	Polyamine-Biosynthesis
PWY-6305	Polyamine-Biosynthesis
URSIN-PWY	Polyamine-Biosynthesis
PWY-6341	Polymer-Degradation
PWY0-1546	Polymer-Degradation
PWY-7794	Polymer-Degradation
PWY-7924	Polymer-Degradation
PWY-7925	Polymer-Degradation
PWY-5816	Polyprenyl-Biosynthesis
PWY-5806	Polyprenyl-Biosynthesis
PWY-5817	Polyprenyl-Biosynthesis
PWY-6577	Polyprenyl-Biosynthesis
PWY-5122	Polyprenyl-Biosynthesis
PWY-5120	Polyprenyl-Biosynthesis
PWY-5807	Polyprenyl-Biosynthesis
HEXPPSYN-PWY	Polyprenyl-Biosynthesis
PWY-5805	Polyprenyl-Biosynthesis
PWY-6520	Polyprenyl-Biosynthesis
PWY-5783	Polyprenyl-Biosynthesis
PWY-5123	Polyprenyl-Biosynthesis
PWY-5893	Polyprenyl-Biosynthesis
POLYISOPRENSYN-PWY	Polyprenyl-Biosynthesis
PWY-6423	Protein-Degradation
PWY-7800	Protein-Modification
PWY-7799	Protein-Modification
PWY-7801	Protein-Modification
PWY-7802	Protein-Modification
PWY-7942	Protein-Modification
PWY-6012-1	Protein-Modification
PWY-6012	Protein-Modification
PWY-7884	Protein-Modification
PWY-8488	Protein-Modification
PWY0-1599	Protein-Modification
PWY0-1600	Protein-Modification
PWY-7894	Protein-Modification
PWY-7899	Protein-Modification
PWY-7893	Protein-Modification
PWY-7798	Protein-Modification
PWY-7887	Protein-Modification
PWY-7511	Protein-Modification
PWY-2261	REACTIVE-OXYGEN-SPECIES-DEGRADATION
DETOX1-PWY	REACTIVE-OXYGEN-SPECIES-DEGRADATION
PWY-7214	REACTIVE-OXYGEN-SPECIES-DEGRADATION
DETOX1-PWY-1	REACTIVE-OXYGEN-SPECIES-DEGRADATION
PWY-6990	Secondary-Metabolite-Biosynthesis
PWY-6991	Secondary-Metabolite-Biosynthesis
PWY-7556	Secondary-Metabolite-Biosynthesis
PWY-5954	Secondary-Metabolite-Biosynthesis
PWY-7907	Secondary-Metabolite-Biosynthesis
PWY-5434	Secondary-Metabolite-Biosynthesis
PWY-6007	Secondary-Metabolite-Biosynthesis
PWY-7709	Secondary-Metabolite-Biosynthesis
PWY-8320	Secondary-Metabolite-Biosynthesis
PWY-8299	Secondary-Metabolite-Biosynthesis
PWY-7141	Secondary-Metabolite-Biosynthesis
PWY-5928	Secondary-Metabolite-Biosynthesis
PWY-7443	Secondary-Metabolite-Biosynthesis
PWY-5737	Secondary-Metabolite-Biosynthesis
PWY-6668	Secondary-Metabolite-Biosynthesis
PWY-7522	Secondary-Metabolite-Biosynthesis
PWY-3581	Secondary-Metabolite-Biosynthesis
PWY-6133	Secondary-Metabolite-Biosynthesis
PWY-6900	Secondary-Metabolite-Biosynthesis
PWY-6539	Secondary-Metabolite-Biosynthesis
PWY-5001	Secondary-Metabolite-Biosynthesis
PWY-5315	Secondary-Metabolite-Biosynthesis
PWY-5935	Secondary-Metabolite-Biosynthesis
PWY-7958	Secondary-Metabolite-Biosynthesis
PWY-7959	Secondary-Metabolite-Biosynthesis
PWY66-393	Secondary-Metabolite-Biosynthesis
PWY-5912	Secondary-Metabolite-Biosynthesis
PWY-7945	Secondary-Metabolite-Biosynthesis
PWY-7536	Secondary-Metabolite-Biosynthesis
PWY-8052	Secondary-Metabolite-Biosynthesis
PWY-6660	Secondary-Metabolite-Biosynthesis
PWY-8019	Secondary-Metabolite-Biosynthesis
PWY-5776	Secondary-Metabolite-Biosynthesis
PWY-7087	Secondary-Metabolite-Biosynthesis
PWY-8451	Secondary-Metabolite-Biosynthesis
PWY-7065	Secondary-Metabolite-Biosynthesis
PWY-7095	Secondary-Metabolite-Biosynthesis
PWY-6451	Secondary-Metabolite-Biosynthesis
PWY-7717	Secondary-Metabolite-Biosynthesis
PWY-7765	Secondary-Metabolite-Biosynthesis
PWY-7733	Secondary-Metabolite-Biosynthesis
PWY-6511	Secondary-Metabolite-Biosynthesis
PWY-5389	Secondary-Metabolite-Biosynthesis
PWY-7956	Secondary-Metabolite-Biosynthesis
PWY-7497	Secondary-Metabolite-Biosynthesis
PWY-6767	Secondary-Metabolite-Biosynthesis
PWY-6661	Secondary-Metabolite-Biosynthesis
PWY-6418	Secondary-Metabolite-Biosynthesis
PWY-8024	Secondary-Metabolite-Biosynthesis
PWY-7543	Secondary-Metabolite-Biosynthesis
PWY-7911	Secondary-Metabolite-Biosynthesis
PWY-8297	Secondary-Metabolite-Biosynthesis
PWY-6920	Secondary-Metabolite-Biosynthesis
PWY-7811	Secondary-Metabolite-Biosynthesis
PWY-8076	Secondary-Metabolite-Biosynthesis
PWY-7689	Secondary-Metabolite-Biosynthesis
PWY-5407	Secondary-Metabolite-Biosynthesis
PWY-5408	Secondary-Metabolite-Biosynthesis
PWY-5411	Secondary-Metabolite-Biosynthesis
PWY-6333	Secondary-Metabolite-Biosynthesis
PWY-6330	Secondary-Metabolite-Biosynthesis
PWY-7532	Secondary-Metabolite-Biosynthesis
PWY-6574	Secondary-Metabolite-Biosynthesis
PWY-7984	Secondary-Metabolite-Biosynthesis
PWY-7989	Secondary-Metabolite-Biosynthesis
PWY-7354	Secondary-Metabolite-Biosynthesis
PWY-5958	Secondary-Metabolite-Biosynthesis
PWY-7718	Secondary-Metabolite-Biosynthesis
PWY1A0-6325	Secondary-Metabolite-Biosynthesis
PWY18C3-16	Secondary-Metabolite-Biosynthesis
PWY18C3-15	Secondary-Metabolite-Biosynthesis
PWY-7857	Secondary-Metabolite-Biosynthesis
AEROBACTINSYN-PWY	Secondary-Metabolite-Biosynthesis
PWY-5959	Secondary-Metabolite-Biosynthesis
PWY-5960	Secondary-Metabolite-Biosynthesis
PWY-7540	Secondary-Metabolite-Biosynthesis
PWY-5301	Secondary-Metabolite-Biosynthesis
PWY-8293	Secondary-Metabolite-Biosynthesis
PWY-5887	Secondary-Metabolite-Biosynthesis
PWY-6379	Secondary-Metabolite-Biosynthesis
PWYQT-4450	Secondary-Metabolite-Biosynthesis
PWY-6859	Secondary-Metabolite-Biosynthesis
PWY-5706	Secondary-Metabolite-Biosynthesis
PWY-6310	Secondary-Metabolite-Biosynthesis
PWY-4801	Secondary-Metabolite-Biosynthesis
PWY-6312	Secondary-Metabolite-Biosynthesis
PWY-5377	Secondary-Metabolite-Biosynthesis
PWY-5946	Secondary-Metabolite-Biosynthesis
PWY-7555	Secondary-Metabolite-Biosynthesis
PWY-7558	Secondary-Metabolite-Biosynthesis
PWY-5666	Secondary-Metabolite-Biosynthesis
PWY18C3-3	Secondary-Metabolite-Biosynthesis
PWY-5400	Secondary-Metabolite-Biosynthesis
PWY-7826	Secondary-Metabolite-Biosynthesis
PWY-8483	Secondary-Metabolite-Biosynthesis
PWY-7599	Secondary-Metabolite-Biosynthesis
PWY-7986	Secondary-Metabolite-Biosynthesis
PWY-8344	Secondary-Metabolite-Biosynthesis
PWY-8040	Secondary-Metabolite-Biosynthesis
PWY-8374	Secondary-Metabolite-Biosynthesis
PWY-8361	Secondary-Metabolite-Biosynthesis
PWY-7569	Secondary-Metabolite-Biosynthesis
PWY-6316	Secondary-Metabolite-Biosynthesis
PWY-5195	Secondary-Metabolite-Biosynthesis
PWY-8424	Secondary-Metabolite-Biosynthesis
PWY-7549	Secondary-Metabolite-Biosynthesis
PWY66-395	Secondary-Metabolite-Biosynthesis
PWY66-394	Secondary-Metabolite-Biosynthesis
PWY-8388	Secondary-Metabolite-Biosynthesis
PWY-7565	Secondary-Metabolite-Biosynthesis
PWY-5288	Secondary-Metabolite-Biosynthesis
PWY-7636	Secondary-Metabolite-Biosynthesis
PWY-7623	Secondary-Metabolite-Biosynthesis
PWY-8327	Secondary-Metabolite-Biosynthesis
PWY-7739	Secondary-Metabolite-Biosynthesis
PWY-7407	Secondary-Metabolite-Biosynthesis
PWY-7405	Secondary-Metabolite-Biosynthesis
PWY-7665	Secondary-Metabolite-Biosynthesis
PWY-8033	Secondary-Metabolite-Biosynthesis
PWY-7695	Secondary-Metabolite-Biosynthesis
PWY-6157	Secondary-Metabolite-Biosynthesis
PWY-6153	Secondary-Metabolite-Biosynthesis
PWY-6154	Secondary-Metabolite-Biosynthesis
PWY-7621	Secondary-Metabolite-Biosynthesis
PWY-7473	Secondary-Metabolite-Biosynthesis
PWY-7474	Secondary-Metabolite-Biosynthesis
PWY-8489	Secondary-Metabolite-Biosynthesis
PWY-7626	Secondary-Metabolite-Biosynthesis
PWY-7564	Secondary-Metabolite-Biosynthesis
PWY-7944	Secondary-Metabolite-Biosynthesis
PWY-6008	Secondary-Metabolite-Biosynthesis
PWY-7563	Secondary-Metabolite-Biosynthesis
PWY-7988	Secondary-Metabolite-Biosynthesis
PWY-3901	Secondary-Metabolite-Biosynthesis
PWY-6243	Secondary-Metabolite-Biosynthesis
PWY-6244	Secondary-Metabolite-Biosynthesis
PWY-5877	Secondary-Metabolite-Biosynthesis
PWY-5943	Secondary-Metabolite-Biosynthesis
PWY-6275	Secondary-Metabolite-Biosynthesis
PWY-6290	Secondary-Metabolite-Biosynthesis
PWY-4961	Secondary-Metabolite-Biosynthesis
PWY-5399	Secondary-Metabolite-Biosynthesis
PWY-5439	Secondary-Metabolite-Biosynthesis
PWY-5394	Secondary-Metabolite-Biosynthesis
PWY-5426	Secondary-Metabolite-Biosynthesis
PWY-5403	Secondary-Metabolite-Biosynthesis
PWY-5404	Secondary-Metabolite-Biosynthesis
PWY-7067	Secondary-Metabolite-Biosynthesis
PWY-7692	Secondary-Metabolite-Biosynthesis
PWY-5472	Secondary-Metabolite-Biosynthesis
PWY-6381	Secondary-Metabolite-Biosynthesis
PWY-5305	Secondary-Metabolite-Biosynthesis
PWY-7570	Secondary-Metabolite-Biosynthesis
PWY-5813	Secondary-Metabolite-Biosynthesis
PWY-6278	Secondary-Metabolite-Biosynthesis
PWY-6105	Secondary-Metabolite-Biosynthesis
PWY-7517	Secondary-Metabolite-Biosynthesis
PWY-8047	Secondary-Metabolite-Biosynthesis
PWY-7019	Secondary-Metabolite-Biosynthesis
PWY-5037	Secondary-Metabolite-Biosynthesis
PWY-5038	Secondary-Metabolite-Biosynthesis
PWY-7711	Secondary-Metabolite-Biosynthesis
PWY-5318	Secondary-Metabolite-Biosynthesis
CAMALEXIN-SYN	Secondary-Metabolite-Biosynthesis
PWY-6326	Secondary-Metabolite-Biosynthesis
PWY-5	Secondary-Metabolite-Biosynthesis
PWY-6722	Secondary-Metabolite-Biosynthesis
PWY-5140	Secondary-Metabolite-Biosynthesis
PWY-5291	Secondary-Metabolite-Biosynthesis
PWY-5710	Secondary-Metabolite-Biosynthesis
PWY-5174	Secondary-Metabolite-Biosynthesis
PWY-6027	Secondary-Metabolite-Biosynthesis
PWY-2921	Secondary-Metabolite-Biosynthesis
PWY-8447	Secondary-Metabolite-Biosynthesis
PWY-7680	Secondary-Metabolite-Biosynthesis
PWY-6304	Secondary-Metabolite-Biosynthesis
PWY18C3-7	Secondary-Metabolite-Biosynthesis
PWY-5632	Secondary-Metabolite-Biosynthesis
PWY-5633	Secondary-Metabolite-Biosynthesis
PWY-7612	Secondary-Metabolite-Biosynthesis
PWY-6493	Secondary-Metabolite-Biosynthesis
PWY-8036	Secondary-Metabolite-Biosynthesis
PWY-7507	Secondary-Metabolite-Biosynthesis
PWY-8032	Secondary-Metabolite-Biosynthesis
PWY-7939	Secondary-Metabolite-Biosynthesis
PWY-7810	Secondary-Metabolite-Biosynthesis
PWY-5848	Secondary-Metabolite-Biosynthesis
PWY18C3-13	Secondary-Metabolite-Biosynthesis
PWY-6128	Secondary-Metabolite-Biosynthesis
PWY-5679	Secondary-Metabolite-Biosynthesis
PWY-8368	Secondary-Metabolite-Biosynthesis
PWY-5843	Secondary-Metabolite-Biosynthesis
PWY-7880	Secondary-Metabolite-Biosynthesis
PWY-5846	Secondary-Metabolite-Biosynthesis
PWY-8117	Secondary-Metabolite-Biosynthesis
PWY-5133	Secondary-Metabolite-Biosynthesis
PWY-8030	Secondary-Metabolite-Biosynthesis
PWY-8438	Secondary-Metabolite-Biosynthesis
PWY-6540	Secondary-Metabolite-Biosynthesis
PWY-8296	Secondary-Metabolite-Biosynthesis
PWY-5397	Secondary-Metabolite-Biosynthesis
PWY-5398	Secondary-Metabolite-Biosynthesis
PWY-8100	Secondary-Metabolite-Biosynthesis
PWY-8434	Secondary-Metabolite-Biosynthesis
PWY-8358	Secondary-Metabolite-Biosynthesis
PWY-6257	Secondary-Metabolite-Biosynthesis
PWY-6432	Secondary-Metabolite-Biosynthesis
PWY-8409	Secondary-Metabolite-Biosynthesis
PWY-7482	Secondary-Metabolite-Biosynthesis
PWY-8477	Secondary-Metabolite-Biosynthesis
PWY-8443	Secondary-Metabolite-Biosynthesis
PWY-8045	Secondary-Metabolite-Biosynthesis
PWY-7274	Secondary-Metabolite-Biosynthesis
PWY-6095	Secondary-Metabolite-Biosynthesis
PWY-7706	Secondary-Metabolite-Biosynthesis
PWY-7352	Secondary-Metabolite-Biosynthesis
PWY-8084	Secondary-Metabolite-Biosynthesis
PWY-5631	Secondary-Metabolite-Biosynthesis
PWY18HP-2	Secondary-Metabolite-Biosynthesis
PWY-7655	Secondary-Metabolite-Biosynthesis
PWY-5421	Secondary-Metabolite-Biosynthesis
PWY-6682	Secondary-Metabolite-Biosynthesis
PWY-6337	Secondary-Metabolite-Biosynthesis
PWY-6669	Secondary-Metabolite-Biosynthesis
PWY-7712	Secondary-Metabolite-Biosynthesis
PWY-7475	Secondary-Metabolite-Biosynthesis
PWY-6376	Secondary-Metabolite-Biosynthesis
PWY-6375	Secondary-Metabolite-Biosynthesis
PWY-861	Secondary-Metabolite-Biosynthesis
PWY18C3-9	Secondary-Metabolite-Biosynthesis
PWY-7950	Secondary-Metabolite-Biosynthesis
PWY-8382	Secondary-Metabolite-Biosynthesis
PWY-6949	Secondary-Metabolite-Biosynthesis
PWY-6950	Secondary-Metabolite-Biosynthesis
PWY-6098	Secondary-Metabolite-Biosynthesis
PWY-2981	Secondary-Metabolite-Biosynthesis
PWY-5409	Secondary-Metabolite-Biosynthesis
PWY-7994	Secondary-Metabolite-Biosynthesis
PWY-8083	Secondary-Metabolite-Biosynthesis
PWY-7355	Secondary-Metabolite-Biosynthesis
PWY-7442	Secondary-Metabolite-Biosynthesis
PWY-7638	Secondary-Metabolite-Biosynthesis
PWY-7650	Secondary-Metabolite-Biosynthesis
PWY-7735	Secondary-Metabolite-Biosynthesis
PWY-7483	Secondary-Metabolite-Biosynthesis
PWY-7135	Secondary-Metabolite-Biosynthesis
PWY-8166	Secondary-Metabolite-Biosynthesis
PWY-5883	Secondary-Metabolite-Biosynthesis
PWY-8031	Secondary-Metabolite-Biosynthesis
PWY-7669	Secondary-Metabolite-Biosynthesis
PWY-6495	Secondary-Metabolite-Biosynthesis
PWY-7255	Secondary-Metabolite-Biosynthesis
PWY-7550	Secondary-Metabolite-Biosynthesis
PWY-8408	Secondary-Metabolite-Biosynthesis
PWY-7108	Secondary-Metabolite-Biosynthesis
PWY-7106	Secondary-Metabolite-Biosynthesis
PWY-5708	Secondary-Metabolite-Biosynthesis
PWY-6271	Secondary-Metabolite-Biosynthesis
PWY-6498	Secondary-Metabolite-Biosynthesis
PWY-5725	Secondary-Metabolite-Biosynthesis
PWY-8001	Secondary-Metabolite-Biosynthesis
PWY-6437	Secondary-Metabolite-Biosynthesis
PWY-6445	Secondary-Metabolite-Biosynthesis
PWY-6449	Secondary-Metabolite-Biosynthesis
PWY-7571	Secondary-Metabolite-Biosynthesis
PWY-7577	Secondary-Metabolite-Biosynthesis
PWY-8484	Secondary-Metabolite-Biosynthesis
PWY-7513	Secondary-Metabolite-Biosynthesis
PWY-7947	Secondary-Metabolite-Biosynthesis
PWY-6644	Secondary-Metabolite-Biosynthesis
PWY-5757	Secondary-Metabolite-Biosynthesis
